word, translation
être,to be
avoir,to have
faire,make
dire,say
pouvoir,power
aller,go
voir,see
vouloir,want to
venir,come
devoir,duty
prendre,to take
trouver,find
donner,give
falloir,have to
parler,talk
mettre,to put
savoir,know
passer,pass
regarder,watch
aimer,like
croire,believe
demander,request
rester,stay
répondre,reply
entendre,hear
penser,think
arriver,arrive
connaître,know
devenir,to become
sentir,feel
sembler,appear
tenir,hold
comprendre,understand
rendre,return
attendre,wait
sortir,go out
vivre,live
entrer,enter
reprendre,resume
porter,carry
chercher,search
revenir,come back
appeler,call
mourir,pass away
partir,go
jeter,throw
suivre,to follow
écrire,to write
montrer,to show
tomber,fall
ouvrir,to open
arrêter,Stop
perdre,to lose
commencer,to start
paraître,look
marcher,walk
lever,raise
permettre,allow
asseoir,Sit
écouter,listen
monter,ascend
apercevoir,see
recevoir,to receive
servir,to serve
finir,finish
rire,to laugh
crier,yell
jouer,to play
tourner,turn
garder,keep
reconnaître,recognize
quitter,to leave
manger,eat
courir,run
continuer,Carry on
oublier,forget
descendre,go down
cacher,hide
poser,to pose
tirer,shoot
présenter,present
ajouter,add
agir,to act
retrouver,find
offrir,to offer
apprendre,learn
tuer,kill
retourner,return
rencontrer,meet
envoyer,to send
dormir,to sleep
pousser,push
rappeler,call back
lire,read
changer,switch
essayer,try
compter,count
occuper,to occupy
expliquer,explain
frapper,hit
travailler,to work
obtenir,get
rentrer,return
pleurer,cry
répéter,repeat
payer,pay
apporter,to bring
exister,to exist
boire,to drink
sourire,smile
coucher,sleep
causer,cause
raconter,tell
serrer,tighten
songer,wonder
manquer,to lack
nommer,appoint
conduire,drive
saisir,grab
demeurer,remain
remettre,reset
disparaître,vanish
battre,beat
toucher,to touch
apparaître,appear
souffrir,suffer
fermer,to close
accepter,accept
tendre,tender
naître,be born
sauver,to save
avancer,moving forward
traverser,to cross
souvenir,memory
couvrir,cover
gagner,to win
former,form
plaire,please
embrasser,to kiss
oser,dare
empêcher,avoid
refuser,refuse
décider,decide
produire,produce
charger,load
mêler,mix
espérer,hope
cesser,to cease
ressembler,look like
chanter,sing
approcher,approach
prier,pray
échapper,escape
glisser,slip
briller,shine
brûler,burn
placer,to place
juger,judge
suffire,suffice
atteindre,reach
annoncer,announce
élever,raise
acheter,buy
mener,lead
préparer,to prepare
assurer,ensure
deviner,to guess
considérer,consider
appartenir,to belong
représenter,represent
tromper,deceive
vendre,sell
craindre,to fear
